state_id,state_name,state_cluster,metric_order,metric_name,matched_current_columns,available_in_current_iaeav,n_available_subjects,metric_modality,metric_analysis_type,metric_definition,how_calculated,clinical_interpretation,threshold_note,literature_basis_from_spec,prior_direction,prior_direction_code,why_prior_direction,current_pipeline_direction_code,current_pipeline_direction_note,current_pipeline_role,cn_n,cn_median,cn_mad,cn_p75,cn_p90,cn_p975,cn_mean,ad_n,ad_mean,patient_n,patient_mean,empirical_raw_direction_ad_minus_cn,auc_ad_vs_cn_aligned,auc_patient_vs_cn_aligned,interviewer_eta2,empirical_check_status,empirical_check_note,confound_flag,final_role,external_prior_decision,expected_direction,audit_implication,external_prior_review_status,current_evaluation_status
S01,pause_fluency_burden,acoustic_fluency_output,1,n_pauses_per_min,n_pauses_per_min,yes,223,acoustic,VAD / temporal acoustic analysis,单位时间停顿次数,检测非语音静音段，按每分钟计数：n_pauses / duration_min,停顿次数增多提示找词、计划语句或处理速度负担，但受任务和录音影响。,S01 先报告文献常用静音/长停顿阈值，并同时做数据驱动 CN 分位数校准。,ASHA Dementia; Rohanian et al. 2021; Nasreen et al. 2021; ADReSS/ADReSSo; connected speech reviews,higher_abnormal,1.0,Prior states that higher values indicate greater abnormal burden.,1.0,+1,core,184,47.805456492055285,5.584263899020225,53.904281149350595,63.07058451403178,81.96784828385356,49.729012092203426,23,44.16617460135201,39,43.27752696270269,AD_lower,0.3334782608695652,0.2835841694537346,0.1956872509391776,direction_conflict_or_confound,Aligned AUC is below chance; direction or dataset confound needs review.,direction_conflict,review before diagnostic use,stable_signed_prior,higher pause / long-pause / unvoiced burden is more abnormal,"Keep as core evidence, but current n_pauses_per_min conflict means not every pause metric is safe; prioritize long-pause and unvoiced-duration metrics and inspect VAD definition.",manual_review_required,exclude_pending_direction_review
S01,pause_fluency_burden,acoustic_fluency_output,2,long_pause_rate_per_min,long_pause_rate_per_min,yes,223,acoustic,VAD / temporal acoustic analysis,长停顿发生率,定义超过阈值的长静音段，如 >1.5s 或数据驱动阈值；long_pauses / duration_min,长停顿比普通短停顿更接近检索失败或认知处理延迟。,S01 先报告文献常用静音/长停顿阈值，并同时做数据驱动 CN 分位数校准。,ASHA Dementia; Rohanian et al. 2021; Nasreen et al. 2021; ADReSS/ADReSSo; connected speech reviews,higher_abnormal,1.0,Prior states that higher values indicate greater abnormal burden.,1.0,+1,core,184,0.9662832231512174,0.648126107565954,1.76869547853956,2.6014887826937967,3.5025135501852613,1.16098343149978,23,2.770456352912132,39,2.779680217729634,AD_higher,0.7975,0.8343784838350056,0.3958636396144017,supports_prior,Aligned AUC is clearly above chance in current IAEAV.,high_interviewer_variance,core evidence,stable_signed_prior,higher pause / long-pause / unvoiced burden is more abnormal,"Keep as core evidence, but current n_pauses_per_min conflict means not every pause metric is safe; prioritize long-pause and unvoiced-duration metrics and inspect VAD definition.",prior_acceptable_with_empirical_and_confound_checks,include_current_state_evaluation
S01,pause_fluency_burden,acoustic_fluency_output,3,pause_mode_mean_sec,pause_mode1_mean_sec; pause_mode2_mean_sec,yes,0,acoustic,VAD / temporal acoustic analysis,停顿时长模式均值,对静音段时长分布建模/分群，取主要 pause mode 的平均秒数,反映停顿不是偶然出现，而是形成稳定的语流中断模式。,S01 先报告文献常用静音/长停顿阈值，并同时做数据驱动 CN 分位数校准。,ASHA Dementia; Rohanian et al. 2021; Nasreen et al. 2021; ADReSS/ADReSSo; connected speech reviews,higher_abnormal,1.0,Prior states that higher values indicate greater abnormal burden.,,,,0,,,,,,,0,,0,,not_tested,,,,not_tested,Insufficient AD/CN values.,none_detected_in_this_audit,core evidence,stable_signed_prior,higher pause / long-pause / unvoiced burden is more abnormal,"Keep as core evidence, but current n_pauses_per_min conflict means not every pause metric is safe; prioritize long-pause and unvoiced-duration metrics and inspect VAD definition.",prior_acceptable_with_empirical_and_confound_checks,include_current_state_evaluation
S01,pause_fluency_burden,acoustic_fluency_output,4,MeanUnvoicedSegmentLength,egemaps_MeanUnvoicedSegmentLength,yes,223,acoustic,openSMILE/eGeMAPS acoustic feature extraction,平均非发声段长度,openSMILE 估计 unvoiced segment 后取平均长度,非发声片段变长支持语流中断，但也可能来自录音、呼吸、发声习惯。,S01 先报告文献常用静音/长停顿阈值，并同时做数据驱动 CN 分位数校准。,ASHA Dementia; Rohanian et al. 2021; Nasreen et al. 2021; ADReSS/ADReSSo; connected speech reviews,higher_abnormal,1.0,Prior states that higher values indicate greater abnormal burden.,1.0,+1,core,184,0.2466520592570304,0.0619665905833244,0.331656813621521,0.4410404413938523,0.5846678659319874,0.2785139403751362,23,0.5125428373398988,39,0.4998486355329171,AD_higher,0.8947826086956522,0.914994425863991,0.4214301874189325,supports_prior,Aligned AUC is clearly above chance in current IAEAV.,high_interviewer_variance,core evidence,stable_signed_prior,higher pause / long-pause / unvoiced burden is more abnormal,"Keep as core evidence, but current n_pauses_per_min conflict means not every pause metric is safe; prioritize long-pause and unvoiced-duration metrics and inspect VAD definition.",prior_acceptable_with_empirical_and_confound_checks,include_current_state_evaluation
S01,pause_fluency_burden,acoustic_fluency_output,5,StddevUnvoicedSegmentLength,egemaps_StddevUnvoicedSegmentLength,yes,223,acoustic,openSMILE/eGeMAPS acoustic feature extraction,非发声段长度变异,unvoiced segment length 的标准差,停顿/非发声模式越不稳定，可能提示语流控制负担或采样质量问题。,S01 先报告文献常用静音/长停顿阈值，并同时做数据驱动 CN 分位数校准。,ASHA Dementia; Rohanian et al. 2021; Nasreen et al. 2021; ADReSS/ADReSSo; connected speech reviews,higher_abnormal,1.0,State-level prior: higher pause/disfluency/interactional burden is more abnormal.,1.0,+1,core,184,0.3525656908750534,0.1197764202952385,0.5205282270908356,0.7885852217674256,1.1974262833595275,0.4347858633846044,23,0.9905420645423556,39,0.9724304018876492,AD_higher,0.8821739130434783,0.9186176142697882,0.4149879168196107,supports_prior,Aligned AUC is clearly above chance in current IAEAV.,high_interviewer_variance,core evidence,stable_signed_prior,higher pause / long-pause / unvoiced burden is more abnormal,"Keep as core evidence, but current n_pauses_per_min conflict means not every pause metric is safe; prioritize long-pause and unvoiced-duration metrics and inspect VAD definition.",prior_acceptable_with_empirical_and_confound_checks,include_current_state_evaluation
S01,pause_fluency_burden,acoustic_fluency_output,6,filler_rate,s12_filler_rate,yes,223,semantic / transcript,ASR transcript linguistic analysis,填充词比例,统计 um/uh/呃/嗯 等 filler 次数，除以总词数或每分钟,填充词增多可提示找词或计划负担，但语言习惯影响大，权重低于长停顿。 | 2026-07: filler subtypes and speaker habits matter; report cautiously and never alone.,S01 先报告文献常用静音/长停顿阈值，并同时做数据驱动 CN 分位数校准。,ASHA Dementia; Rohanian et al. 2021; Nasreen et al. 2021; ADReSS/ADReSSo; connected speech reviews,mixed_habit_dependent,0.0,Prior states that higher values indicate greater abnormal burden.,0.0,+1,cautious_support,184,0.0151712762284705,0.0069073783359497,0.0215012960325058,0.0330266703837932,0.0522945804195802,0.0169123068673783,23,0.0253575003856632,39,0.0237953963489599,AD_higher,0.6685869565217392,0.6422101449275363,0.0575764248617269,supports_prior,Aligned AUC is clearly above chance in current IAEAV.,none_detected_in_this_audit,core evidence,stable_signed_prior,higher pause / long-pause / unvoiced burden is more abnormal,"Keep as core evidence, but current n_pauses_per_min conflict means not every pause metric is safe; prioritize long-pause and unvoiced-duration metrics and inspect VAD definition.",prior_acceptable_with_empirical_and_confound_checks,include_current_state_evaluation
S01,pause_fluency_burden,acoustic_fluency_output,7,response_latency,mean_response_latency_sec; median_response_latency_sec,yes,222,dialogue timing,feature extraction / planned analysis,回答启动延迟,从 examiner prompt 结束到 patient speech onset 的时间差,启动延迟增加可提示处理速度或理解负担，但强受访谈者、听力和任务影响。,S01 先报告文献常用静音/长停顿阈值，并同时做数据驱动 CN 分位数校准。,ASHA Dementia; Rohanian et al. 2021; Nasreen et al. 2021; ADReSS/ADReSSo; connected speech reviews,higher_abnormal,1.0,Prior states that higher values indicate greater abnormal burden.,,,,183,0.0,0.0,0.0,0.1366268833333338,0.5535752607142828,0.0625367943223371,23,0.2806829100269313,39,0.3046429502967127,AD_higher,0.5529823028184401,0.5432254448647891,0.146121761553525,weak_support,Aligned AUC is above chance but weak.,none_detected_in_this_audit,core evidence,stable_signed_prior,higher pause / long-pause / unvoiced burden is more abnormal,"Keep as core evidence, but current n_pauses_per_min conflict means not every pause metric is safe; prioritize long-pause and unvoiced-duration metrics and inspect VAD definition.",prior_acceptable_with_empirical_and_confound_checks,include_current_state_evaluation
S01,pause_fluency_burden,acoustic_fluency_output,8,egemaps_MeanUnvoicedSegmentLength,egemaps_MeanUnvoicedSegmentLength,yes,223,acoustic,openSMILE/eGeMAPS acoustic feature extraction,无声段平均长度；功能统计：该属性在整段语音上的汇总值。,openSMILE eGeMAPS 对帧级低层描述符提取统计函数；具体统计含义见“统计含义”列。,平均无声段长度，接近 pause burden。当前 IAEAV 中强差异，和找词困难/处理延迟解释更接近。；AD优先级：高（当前 IAEAV 强差异） | 2026-07: duplicate eGeMAPS copy; not used as independent clinical evidence.,S01 先报告文献常用静音/长停顿阈值，并同时做数据驱动 CN 分位数校准。,ASHA Dementia; Rohanian et al. 2021; Nasreen et al. 2021; ADReSS/ADReSSo; connected speech reviews,higher_abnormal,1.0,Prior states that higher values indicate greater abnormal burden.,0.0,+1,exclude_duplicate_or_qc,184,0.2466520592570304,0.0619665905833244,0.331656813621521,0.4410404413938523,0.5846678659319874,0.2785139403751362,23,0.5125428373398988,39,0.4998486355329171,AD_higher,0.8947826086956522,0.914994425863991,0.4214301874189325,supports_prior,Aligned AUC is clearly above chance in current IAEAV.,high_interviewer_variance,core evidence,stable_signed_prior,higher pause / long-pause / unvoiced burden is more abnormal,"Keep as core evidence, but current n_pauses_per_min conflict means not every pause metric is safe; prioritize long-pause and unvoiced-duration metrics and inspect VAD definition.",prior_acceptable_with_empirical_and_confound_checks,include_current_state_evaluation
S01,pause_fluency_burden,acoustic_fluency_output,9,egemaps_StddevUnvoicedSegmentLength,egemaps_StddevUnvoicedSegmentLength,yes,223,acoustic,openSMILE/eGeMAPS acoustic feature extraction,无声段长度波动；功能统计：该属性在整段语音上的汇总值。,openSMILE eGeMAPS 对帧级低层描述符提取统计函数；具体统计含义见“统计含义”列。,无声段长度不稳定性，反映停顿模式波动。当前 IAEAV 中最强差异之一。；AD优先级：高（当前 IAEAV 强差异） | 2026-07: duplicate eGeMAPS copy; not used as independent clinical evidence.,S01 先报告文献常用静音/长停顿阈值，并同时做数据驱动 CN 分位数校准。,ASHA Dementia; Rohanian et al. 2021; Nasreen et al. 2021; ADReSS/ADReSSo; connected speech reviews,higher_abnormal,1.0,Prior states that higher values indicate greater abnormal burden.,0.0,+1,exclude_duplicate_or_qc,184,0.3525656908750534,0.1197764202952385,0.5205282270908356,0.7885852217674256,1.1974262833595275,0.4347858633846044,23,0.9905420645423556,39,0.9724304018876492,AD_higher,0.8821739130434783,0.9186176142697882,0.4149879168196107,supports_prior,Aligned AUC is clearly above chance in current IAEAV.,high_interviewer_variance,core evidence,stable_signed_prior,higher pause / long-pause / unvoiced burden is more abnormal,"Keep as core evidence, but current n_pauses_per_min conflict means not every pause metric is safe; prioritize long-pause and unvoiced-duration metrics and inspect VAD definition.",prior_acceptable_with_empirical_and_confound_checks,include_current_state_evaluation
S02,speech_rate_output_efficiency,acoustic_fluency_output,1,words_per_min,,no,0,semantic / transcript,ASR transcript linguistic analysis,每分钟词数,n_words / speaking_or_task_duration_min,输出速度降低可提示认知处理、找词或执行功能负担。,不建议直接套固定阈值；用同任务/同语言 CN 分布校准。,ASHA Dementia; ADReSS 2020; connected speech picture-description reviews,lower_abnormal,-1.0,Prior states that lower values indicate greater abnormal burden.,,,,0,,,,,,,0,,0,,not_tested,,,,not_tested,No current IAEAV column matched this spec metric.,not_extracted_or_unmatched,specified but not currently extracted,stable_signed_prior_but_task_sensitive,"lower words/min, lower phonation/output efficiency, or longer completion time is more abnormal",Keep as core evidence after extracting transcript-based speech-rate metrics; current phonation_time_ratio is promising but interviewer-sensitive.,not_empirically_audited_yet,exclude_metric_not_available
